TimeOfProc,UTC,File,CRC,DataSize,MissionID,STEUMod,InternalTime,centroid_numStars,liebe_succeed,liebe_sraTime,liebe_possibleMatch,liebeAD_succeed,liebeAD_vfyTime,liebeAD_numStarsSRA,liebeAD_ID1,liebeAD_ID2,liebeAD_ID3,liebeAD_Qeci2stsCoarse_w,liebeAD_Qeci2stsCoarse_i,liebeAD_Qeci2stsCoarse_j,liebeAD_Qeci2stsCoarse_k,liebeAD_numStarsVfyAD,liebeAD_qualityliebeAD_Qeci2sts_w,liebeAD_Qeci2sts_i,liebeAD_Qeci2sts_j,liebeAD_Qeci2sts_k,liebeProc_boreRA,liebeProc_boreDEC,liebeProc_Qeci2sat_w,liebeProc_Qeci2sat_i,liebeProc_Qeci2sat_j,liebeProc_Qeci2sat_k,centThresh_maxInt,centThresh_areaLargerThan,liebe_cat,liebeTol_minStar,liebeTol_angDist,liebeTol_coneDist,vfyTol_minDist,vfyTol_minStar,vfyTol_minQuality,pred_jday,pred_canSTS,pred_isSSA,pred_ELA,pred_x_ECI,pred_y_ECI,pred_z_ECI,pred_vx_ECI,pred_vy_ECI,pred_vz_ECI,pred_lat,pred_long,pred_alt,pred_Qeci2sts_w,pred_Qeci2sts_i,pred_Qeci2sts_j,pred_Qeci2sts_k,pred_boreRA,pred_boreDEC,pred_Qeci2sat_w,pred_Qeci2sat_i,pred_Qeci2sat_j,pred_Qeci2sat_k,adVcoarse,coarseVpred,adVpred,
27/4/2016 18:16,16/1/2016 18:29,569A8C19,1,1204,2016011618,2,29,12,1,0.017853,22,1,0.030113,3,6148,6113,6074,0.83819,0.10405,0.36624,-0.39048,11,0.91667,0.83822,0.10346,0.36623,-0.39059,319.2406,45.2625,0.13564,0.19955,-0.54619,-0.80216,204,3,pattern_catalogue_doublestarM6_3_MUC4_5_PUC0_1,3,0.1,1.3,12,5,0.65,2457404.271,1,0,54.3551,2764691.886,-6195975.515,-1362766.14,6931.961,2824.8693,1267.8996,-11.3866,-98.8047,543007.6537,0.82702,0.12082,0.37704,-0.3991,316.4708,43.3521,-0.12277,-0.1868,0.53489,0.81482,0.068386,2.8008,2.8448
27/4/2016 18:16,16/1/2016 18:29,569A8C23,1,1200,2016011618,2,39,12,1,0.017585,20,1,0.026207,3,6148,6113,6074,0.83834,0.10417,0.36614,-0.39022,11,0.91667,0.83827,0.10348,0.36617,-0.39053,319.2392,45.269,0.13563,0.19965,-0.54618,-0.80214,204,3,pattern_catalogue_doublestarM6_3_MUC4_5_PUC0_1,3,0.1,1.3,12,5,0.65,2457404.271,1,0,54.6548,2833844.063,-6167354.194,-1350004.973,6898.2552,2899.3022,1284.2766,-11.2775,-98.2151,542896.5612,0.82702,0.12083,0.37704,-0.3991,316.4705,43.3522,-0.12277,-0.1868,0.53489,0.81482,0.086644,2.815,2.8509
27/4/2016 18:16,16/1/2016 18:30,569A8C2D,1,1148,2016011618,2,49,13,1,0.017161,14,1,0.023817,3,6262,6274,6281,0.8376,0.10202,0.3664,-0.39213,13,1,0.83836,0.10344,0.36621,-0.39032,319.2611,45.2654,0.1358,0.19979,-0.54609,-0.80214,204,3,pattern_catalogue_doublestarM6_3_MUC4_5_PUC0_1,3,0.1,1.3,12,5,0.65,2457404.271,1,0,54.9511,2902655.014,-6137990.26,-1337080.803,6863.7172,2973.3894,1300.4994,-11.1671,-97.626,542785.0092,0.82702,0.12083,0.37704,-0.3991,316.4701,43.3523,-0.12276,-0.1868,0.53489,0.81482,0.27859,2.8701,2.8652
27/4/2016 18:16,16/1/2016 18:30,569A8C37,1,1136,2016011618,2,59,13,1,0.017503,15,1,0.024997,3,6262,6274,6281,0.83784,0.10191,0.36638,-0.39167,13,1,0.83841,0.10315,0.36622,-0.39027,319.3081,45.2747,0.13604,0.19977,-0.54623,-0.80201,204,3,pattern_catalogue_doublestarM6_3_MUC4_5_PUC0_1,3,0.1,1.3,12,5,0.65,2457404.271,1,0,55.2441,2971116.714,-6107887.093,-1323995.132,6828.3509,3047.1223,1316.566,-11.0553,-97.0374,542673.0153,0.82702,0.12083,0.37704,-0.3991,316.4698,43.3525,-0.12276,-0.1868,0.53489,0.81482,0.22425,2.9078,2.8934
27/4/2016 18:16,16/1/2016 18:30,569A8C41,1,1100,2016011618,2,69,12,1,0.017422,22,1,0.029232,3,6148,6113,6074,0.83855,0.10386,0.36614,-0.38987,12,1,0.83851,0.10321,0.36616,-0.39011,319.3087,45.2802,0.13607,0.19996,-0.54616,-0.802,204,3,pattern_catalogue_doublestarM6_3_MUC4_5_PUC0_1,3,0.1,1.3,12,5,0.65,2457404.271,1,0,55.5337,3039220.349,-6077048.525,-1310749.636,6792.1608,3120.4915,1332.4742,-10.9423,-96.4493,542560.5988,0.82702,0.12083,0.37704,-0.3991,316.4695,43.3526,-0.12276,-0.1868,0.53488,0.81482,0.080452,2.8646,2.9031
27/4/2016 18:16,16/1/2016 18:30,569A8C4B,1,1120,2016011618,2,79,12,1,0.025653,20,1,0.029207,3,6148,6113,6074,0.83867,0.10386,0.36608,-0.38966,11,0.91667,0.83859,0.10317,0.36611,-0.38998,319.3224,45.2866,0.13616,0.2001,-0.54615,-0.80196,204,3,pattern_catalogue_doublestarM6_3_MUC4_5_PUC0_1,3,0.1,1.3,12,5,0.65,2457404.271,1,0,55.8198,3106957.979,-6045478.116,-1297345.856,6755.1511,3193.4882,1348.2223,-10.8279,-95.8616,542447.7776,0.82702,0.12083,0.37704,-0.3991,316.4692,43.3527,-0.12276,-0.18681,0.53488,0.81482,0.087402,2.8831,2.9182
27/4/2016 18:16,16/1/2016 18:30,569A8C55,1,1088,2016011618,2,89,12,1,0.017708,22,1,0.02892,3,6148,6113,6074,0.8387,0.10365,0.36613,-0.3896,12,1,0.83876,0.10308,0.36613,-0.38963,319.3592,45.2879,0.13644,0.20036,-0.54604,-0.80192,204,3,pattern_catalogue_doublestarM6_3_MUC4_5_PUC0_1,3,0.1,1.3,12,5,0.65,2457404.271,1,0,56.1024,3174321.698,-6013179.502,-1283785.348,6717.3258,3266.1041,1363.8083,-10.7123,-95.2743,542334.5696,0.82702,0.12084,0.37703,-0.3991,316.4689,43.3528,-0.12276,-0.18681,0.53488,0.81482,0.065742,2.9011,2.9475
27/4/2016 18:16,16/1/2016 18:30,569A8C5F,1,1092,2016011618,2,99,12,1,0.017921,22,1,0.029103,3,6148,6113,6074,0.83876,0.10339,0.36612,-0.38954,12,1,0.8388,0.10281,0.36612,-0.38961,319.4003,45.2972,0.13663,0.20033,-0.54619,-0.8018,204,3,pattern_catalogue_doublestarM6_3_MUC4_5_PUC0_1,3,0.1,1.3,12,5,0.65,2457404.272,1,0,56.3813,3241302.833,-5980156.798,-1270069.851,6678.6899,3338.3298,1379.2304,-10.5953,-94.6875,542220.9941,0.82702,0.12084,0.37703,-0.3991,316.4686,43.3529,-0.12276,-0.18681,0.53488,0.81482,0.066764,2.9273,2.9721
27/4/2016 18:16,16/1/2016 18:31,569A8C69,1,1080,2016011618,2,109,13,1,0.017348,13,1,0.021775,3,6262,6274,6281,0.83811,0.10138,0.36639,-0.39121,13,1,0.8388,0.10272,0.36621,-0.38955,319.4212,45.2905,0.13677,0.2003,-0.54617,-0.80179,204,3,pattern_catalogue_doublestarM6_3_MUC4_5_PUC0_1,3,0.1,1.3,12,5,0.65,2457404.272,1,0,56.6565,3307893.571,-5946413.82,-1256200.961,6639.2477,3410.1568,1394.4865,-10.4772,-94.1012,542107.0693,0.82702,0.12084,0.37703,-0.3991,316.4683,43.353,-0.12275,-0.18681,0.53488,0.81482,0.25763,2.9823,2.9786
27/4/2016 18:16,16/1/2016 18:31,569A8C73,1,1100,2016011618,2,119,13,1,0.017587,22,1,0.028859,3,6148,6113,6074,0.83882,0.10329,0.36633,-0.38925,13,1,0.83882,0.10266,0.36639,-0.38937,319.4472,45.271,0.13699,0.2003,-0.54604,-0.80184,204,3,pattern_catalogue_doublestarM6_3_MUC4_5_PUC0_1,3,0.1,1.3,12,5,0.65,2457404.272,1,0,56.9281,3374086.137,-5911954.456,-1242180.289,6599.0037,3481.5768,1409.575,-10.3578,-93.5154,541992.8131,0.82702,0.12084,0.37703,-0.3991,316.468,43.3531,-0.12275,-0.18681,0.53488,0.81482,0.073442,2.941,2.9831
27/4/2016 18:16,16/1/2016 18:31,569A8C7D,1,1076,2016011618,2,129,11,1,0.017627,21,1,0.028042,3,6148,6113,6074,0.839,0.10348,0.36632,-0.38883,11,1,0.8388,0.10269,0.3664,-0.38939,319.4422,45.2685,0.13696,0.20028,-0.54603,-0.80186,204,3,pattern_catalogue_doublestarM6_3_MUC4_5_PUC0_1,3,0.1,1.3,12,5,0.65,2457404.272,1,0,57.1958,3439872.006,-5876783.101,-1228009.635,6557.9631,3552.5805,1424.4939,-10.2371,-92.9299,541878.2452,0.82702,0.12084,0.37703,-0.3991,316.4678,43.3533,-0.12275,-0.18682,0.53488,0.81482,0.11418,2.9552,2.9784
27/4/2016 18:16,16/1/2016 18:31,569A8C87,1,1100,2016011618,2,139,11,1,0.017877,22,1,0.030465,3,6148,6113,6074,0.83887,0.10337,0.3665,-0.38897,11,1,0.83882,0.1027,0.36652,-0.38922,319.4552,45.2537,0.13711,0.20033,-0.54589,-0.80192,204,3,pattern_catalogue_doublestarM6_3_MUC4_5_PUC0_1,3,0.1,1.3,12,5,0.65,2457404.272,1,0,57.4596,3505243.502,-5840903.821,-1213690.645,6516.1305,3623.1596,1439.2415,-10.1153,-92.345,541763.3836,0.82702,0.12085,0.37703,-0.3991,316.4675,43.3534,-0.12275,-0.18682,0.53488,0.81482,0.081268,2.942,2.9805
