TimeOfProc,UTC,File,CRC,DataSize,MissionID,STEUMod,InternalTime,centroid_numStars,liebe_succeed,liebe_sraTime,liebe_possibleMatch,liebeAD_succeed,liebeAD_vfyTime,liebeAD_numStarsSRA,liebeAD_ID1,liebeAD_ID2,liebeAD_ID3,liebeAD_Qeci2stsCoarse_w,liebeAD_Qeci2stsCoarse_i,liebeAD_Qeci2stsCoarse_j,liebeAD_Qeci2stsCoarse_k,liebeAD_numStarsVfyAD,liebeAD_qualityliebeAD_Qeci2sts_w,liebeAD_Qeci2sts_i,liebeAD_Qeci2sts_j,liebeAD_Qeci2sts_k,liebeProc_boreRA,liebeProc_boreDEC,liebeProc_Qeci2sat_w,liebeProc_Qeci2sat_i,liebeProc_Qeci2sat_j,liebeProc_Qeci2sat_k,centThresh_maxInt,centThresh_areaLargerThan,liebe_cat,liebeTol_minStar,liebeTol_angDist,liebeTol_coneDist,vfyTol_minDist,vfyTol_minStar,vfyTol_minQuality,pred_jday,pred_canSTS,pred_isSSA,pred_ELA,pred_x_ECI,pred_y_ECI,pred_z_ECI,pred_vx_ECI,pred_vy_ECI,pred_vz_ECI,pred_lat,pred_long,pred_alt,pred_Qeci2sts_w,pred_Qeci2sts_i,pred_Qeci2sts_j,pred_Qeci2sts_k,pred_boreRA,pred_boreDEC,pred_Qeci2sat_w,pred_Qeci2sat_i,pred_Qeci2sat_j,pred_Qeci2sat_k,adVcoarse,coarseVpred,adVpred,
2016-04-27 18:18:47,16-Jan-2016 23:19:00,569ACFE4,1,1508,2016011623,2,29,13,1,0.01775,18,1,0.023862,3,6148,6113,6074,0.83919,0.10899,0.36825,-0.38505,13,1,0.83934,0.10854,0.36824,-0.38488,318.9433,44.8489,0.13639,0.20349,-0.54001,-0.80522,204,3,pattern_catalogue_doublestarM6_3_MUC4_5_PUC0_1,3,0.1,1.3,12,5,0.65,2457404.4715,1,0,59.6321,4016858.5771,-5532953.1139,-1057361.0516,6145.3744,4172.0607,1580.8763,-8.7896,-159.388,540939.5056,0.82818,0.12226,0.37548,-0.39773,316.3119,43.4833,-0.12198,-0.18939,0.53426,0.81475,0.058326,2.5884,2.6387,
2016-04-27 18:18:47,16-Jan-2016 23:19:10,569ACFEE,1,1500,2016011623,2,39,13,1,0.017916,20,1,0.028114,3,6148,6113,6074,0.83939,0.10899,0.36821,-0.38466,13,1,0.83949,0.10848,0.36822,-0.38457,318.9726,44.8529,0.13661,0.20374,-0.53992,-0.80518,204,3,pattern_catalogue_doublestarM6_3_MUC4_5_PUC0_1,3,0.1,1.3,12,5,0.65,2457404.4716,1,0,59.8592,4078069.6381,-5490899.5257,-1041488.479,6096.5971,4238.4867,1593.558,-8.6552,-158.8081,540822.8552,0.82818,0.12226,0.37547,-0.39773,316.3117,43.4834,-0.12198,-0.18939,0.53426,0.81475,0.061201,2.6265,2.6718,
2016-04-27 18:18:48,16-Jan-2016 23:19:20,569ACFF8,1,1420,2016011623,2,49,11,1,0.017729,20,1,0.02956,3,6148,6113,6074,0.83957,0.10883,0.36811,-0.38441,11,1,0.8396,0.10824,0.3681,-0.38452,319.007,44.8756,0.13675,0.20384,-0.54008,-0.80502,204,3,pattern_catalogue_doublestarM6_3_MUC4_5_PUC0_1,3,0.1,1.3,12,5,0.65,2457404.4718,1,0,60.0816,4138788.9858,-5448184.3754,-1025490.1122,6047.0827,4304.4049,1606.0477,-8.5198,-158.2286,540706.097,0.82818,0.12226,0.37547,-0.39773,316.3115,43.4835,-0.12197,-0.18939,0.53426,0.81475,0.068227,2.667,2.7016,
2016-04-27 18:18:48,16-Jan-2016 23:19:30,569AD002,1,1384,2016011623,2,59,13,1,0.017767,20,1,0.028509,3,6148,6113,6074,0.83955,0.10867,0.3681,-0.38452,13,1,0.83969,0.10812,0.36806,-0.38441,319.0308,44.8851,0.13688,0.20395,-0.54012,-0.80494,204,3,pattern_catalogue_doublestarM6_3_MUC4_5_PUC0_1,3,0.1,1.3,12,5,0.65,2457404.4719,1,0,60.2995,4199009.5255,-5404812.6108,-1009367.8149,5996.8372,4369.8075,1618.3438,-8.3834,-157.6496,540589.249,0.82818,0.12226,0.37547,-0.39773,316.3112,43.4836,-0.12197,-0.18939,0.53426,0.81475,0.066765,2.6693,2.7233,
2016-04-27 18:18:49,16-Jan-2016 23:19:40,569AD00C,1,1376,2016011623,2,69,12,1,0.018166,20,1,0.027499,3,6148,6113,6074,0.83955,0.10864,0.36813,-0.3845,12,1,0.8397,0.10817,0.3681,-0.38432,319.0316,44.8783,0.13692,0.204,-0.54004,-0.80498,204,3,pattern_catalogue_doublestarM6_3_MUC4_5_PUC0_1,3,0.1,1.3,12,5,0.65,2457404.472,1,0,60.5127,4258724.2139,-5360789.2487,-993123.4641,5945.8662,4434.6868,1630.4451,-8.246,-157.071,540472.3295,0.82818,0.12226,0.37547,-0.39773,316.311,43.4837,-0.12197,-0.1894,0.53426,0.81475,0.060623,2.6724,2.7254,
2016-04-27 18:18:49,16-Jan-2016 23:19:50,569AD016,1,1388,2016011623,2,79,13,1,0.017735,20,1,0.02842,3,6148,6113,6074,0.83972,0.10851,0.36818,-0.38412,13,1,0.83979,0.10789,0.36818,-0.38414,319.0864,44.879,0.13725,0.20404,-0.54008,-0.80489,204,3,pattern_catalogue_doublestarM6_3_MUC4_5_PUC0_1,3,0.1,1.3,12,5,0.65,2457404.4721,1,0,60.7212,4317925.3481,-5316119.9177,-976759.1478,5894.1762,4499.0346,1642.3497,-8.1076,-156.4927,540355.3578,0.82818,0.12226,0.37547,-0.39773,316.3108,43.4837,-0.12197,-0.1894,0.53426,0.81475,0.07117,2.7136,2.7578,
2016-04-27 18:18:50,16-Jan-2016 23:20:00,569AD020,1,1352,2016011623,2,89,12,1,0.017739,19,1,0.025533,3,6148,6113,6074,0.8399,0.10831,0.36801,-0.38393,12,1,0.83994,0.10771,0.36803,-0.38398,319.1192,44.9023,0.13741,0.20425,-0.54018,-0.80474,204,3,pattern_catalogue_doublestarM6_3_MUC4_5_PUC0_1,3,0.1,1.3,12,5,0.65,2457404.4722,1,0,60.9249,4376606.0084,-5270809.7944,-960276.7732,5841.7732,4562.8432,1654.0565,-7.9683,-155.9149,540238.3522,0.82818,0.12227,0.37547,-0.39773,316.3106,43.4838,-0.12197,-0.1894,0.53426,0.81475,0.068624,2.755,2.7937,
2016-04-27 18:18:50,16-Jan-2016 23:20:10,569AD02A,1,1348,2016011623,2,99,12,1,0.017888,20,1,0.027367,3,6148,6113,6074,0.84006,0.10839,0.36797,-0.38361,12,1,0.84002,0.10774,0.36802,-0.38382,319.1257,44.9032,0.13749,0.2044,-0.5401,-0.80474,204,3,pattern_catalogue_doublestarM6_3_MUC4_5_PUC0_1,3,0.1,1.3,12,5,0.65,2457404.4723,1,0,61.1238,4434759.3283,-5224864.1233,-943678.2598,5788.6632,4626.1052,1665.5639,-7.8281,-155.3375,540121.3306,0.82818,0.12227,0.37547,-0.39773,316.3104,43.4839,-0.12197,-0.1894,0.53426,0.81475,0.078647,2.7815,2.8074,
2016-04-27 18:18:51,16-Jan-2016 23:20:20,569AD034,1,1316,2016011623,2,109,11,1,0.017648,20,1,0.028202,3,6148,6113,6074,0.83991,0.10816,0.36811,-0.38386,11,1,0.84,0.10761,0.36815,-0.38379,319.1515,44.8924,0.13765,0.2043,-0.54011,-0.80474,204,3,pattern_catalogue_doublestarM6_3_MUC4_5_PUC0_1,3,0.1,1.3,12,5,0.65,2457404.4725,1,0,61.3177,4492377.8037,-5178288.7815,-926965.742,5734.8529,4688.8123,1676.8705,-7.687,-154.7605,540004.3125,0.82818,0.12227,0.37547,-0.39773,316.3103,43.484,-0.12197,-0.1894,0.53426,0.81475,0.064611,2.767,2.8124,
2016-04-27 18:18:51,16-Jan-2016 23:20:30,569AD03E,1,1292,2016011623,2,119,12,1,0.018141,20,1,0.028368,3,6148,6113,6074,0.84012,0.10807,0.36812,-0.38341,12,1,0.84013,0.10745,0.36814,-0.38353,319.1913,44.898,0.13791,0.20449,-0.54008,-0.80466,204,3,pattern_catalogue_doublestarM6_3_MUC4_5_PUC0_1,3,0.1,1.3,12,5,0.65,2457404.4726,1,0,61.5067,4549454.6972,-5131089.1694,-910141.1681,5680.3486,4750.9572,1687.9749,-7.545,-154.1838,539887.3157,0.82818,0.12227,0.37546,-0.39773,316.3101,43.4841,-0.12197,-0.1894,0.53426,0.81475,0.072032,2.8147,2.8473,
