TimeOfProc,UTC,File,CRC,DataSize,MissionID,STEUMod,InternalTime,centroid_numStars,liebe_succeed,liebe_sraTime,liebe_possibleMatch,liebeAD_succeed,liebeAD_vfyTime,liebeAD_numStarsSRA,liebeAD_ID1,liebeAD_ID2,liebeAD_ID3,liebeAD_Qeci2stsCoarse_w,liebeAD_Qeci2stsCoarse_i,liebeAD_Qeci2stsCoarse_j,liebeAD_Qeci2stsCoarse_k,liebeAD_numStarsVfyAD,liebeAD_quality,liebeAD_Qeci2sts_w,liebeAD_Qeci2sts_i,liebeAD_Qeci2sts_j,liebeAD_Qeci2sts_k,liebeProc_boreRA,liebeProc_boreDEC,liebeProc_Qeci2sat_w,liebeProc_Qeci2sat_i,liebeProc_Qeci2sat_j,liebeProc_Qeci2sat_k,centThresh_maxInt,centThresh_areaLargerThan,liebe_cat,liebeTol_minStar,liebeTol_angDist,liebeTol_coneDist,vfyTol_minDist,vfyTol_minStar,vfyTol_minQuality,pred_jday,pred_canSTS,pred_isSSA,pred_ELA,pred_x_ECI,pred_y_ECI,pred_z_ECI,pred_vx_ECI,pred_vy_ECI,pred_vz_ECI,pred_lat,pred_long,pred_alt,pred_Qeci2sts_w,pred_Qeci2sts_i,pred_Qeci2sts_j,pred_Qeci2sts_k,pred_boreRA,pred_boreDEC,pred_Qeci2sat_w,pred_Qeci2sat_i,pred_Qeci2sat_j,pred_Qeci2sat_k,adVcoarse,coarseVpred,adVpred,
2016-05-17 10:29:47,07-Feb-2016 16:18:30,56B76E56,1,788,2016020716,1,29,15,1,0.016806,13,1,0.018515,3,6071,6074,6125,0.37033,0.33084,-0.15531,0.85398,14,0.93333,0.37014,0.33087,-0.15556,0.854,311.3863,47.1086,-0.46471,-0.18241,0.55267,0.66733,140,2,pattern_catalogue_doublestarM6_3_MUC4_5_PUC0_1,3,0.1,1.3,12,5,0.65,2457426.1795,1,0,49.1475,-3548459.6974,-5740948.2122,1483160.936,6520.2137,-3754.6061,1093.782,12.4237,-143.3857,532971.7544,0.38773,0.2895,-0.19277,0.85364,301.9135,49.2931,-0.41378,-0.1992,0.57226,0.67943,0.036154,6.6976,6.6882,
2016-05-17 10:29:47,07-Feb-2016 16:18:40,56B76E60,1,780,2016020716,1,39,15,1,0.016808,12,1,0.018303,3,6071,6074,6125,0.36993,0.33105,-0.15534,0.85407,14,0.93333,0.36999,0.3311,-0.15551,0.85399,311.4173,47.0859,-0.46492,-0.18242,0.55248,0.66734,140,2,pattern_catalogue_doublestarM6_3_MUC4_5_PUC0_1,3,0.1,1.3,12,5,0.65,2457426.1796,1,0,49.6255,-3483043.8744,-5778146.5872,1494008.6953,6562.7304,-3684.9548,1075.7307,12.5171,-142.789,533045.3648,0.38773,0.2895,-0.19277,0.85364,301.9137,49.2931,-0.41378,-0.1992,0.57226,0.67943,0.023332,6.7257,6.7159,
2016-05-17 10:29:48,07-Feb-2016 16:18:50,56B76E6A,1,792,2016020716,1,49,15,1,0.016823,12,1,0.01792,3,6071,6074,6125,0.36868,0.33111,-0.15563,0.85453,14,0.93333,0.3695,0.33134,-0.15543,0.85412,311.4756,47.0636,-0.4653,-0.18271,0.55223,0.6672,140,2,pattern_catalogue_doublestarM6_3_MUC4_5_PUC0_1,3,0.1,1.3,12,5,0.65,2457426.1797,1,0,50.102,-3417206.5858,-5814646.3668,1504675.3317,6604.4524,-3614.8598,1057.5494,12.609,-142.192,533119.6231,0.38773,0.2895,-0.19277,0.85364,301.9139,49.2932,-0.41378,-0.1992,0.57226,0.67943,0.1102,6.7552,6.7583,
2016-05-17 10:29:49,07-Feb-2016 16:19:00,56B76E74,1,768,2016020716,1,59,16,1,0.016864,12,1,0.018201,3,6071,6074,6125,0.3691,0.3313,-0.15551,0.8543,15,0.9375,0.36928,0.33142,-0.1556,0.85415,311.4701,47.0455,-0.46534,-0.18294,0.55205,0.66725,140,2,pattern_catalogue_doublestarM6_3_MUC4_5_PUC0_1,3,0.1,1.3,12,5,0.65,2457426.1799,1,0,50.577,-3350956.3355,-5850442.8649,1515159.4716,6645.3743,-3544.3301,1039.2406,12.6993,-141.5944,533194.5151,0.38773,0.2895,-0.19277,0.85364,301.9141,49.2932,-0.41378,-0.1992,0.57226,0.67943,0.031593,6.7636,6.7604,
2016-05-17 10:29:49,07-Feb-2016 16:19:10,56B76E7E,1,760,2016020716,1,69,14,1,0.016878,13,1,0.018105,3,6071,6074,6125,0.36934,0.33136,-0.15544,0.85418,13,0.92857,0.36909,0.33135,-0.15571,0.85424,311.4623,47.0474,-0.46533,-0.18318,0.55202,0.66722,140,2,pattern_catalogue_doublestarM6_3_MUC4_5_PUC0_1,3,0.1,1.3,12,5,0.65,2457426.18,1,0,51.0503,-3284300.8834,-5885531.9231,1525459.8925,6685.4913,-3473.3739,1020.8062,12.7881,-140.9965,533270.0277,0.38773,0.2895,-0.19277,0.85364,301.9142,49.2933,-0.41378,-0.1992,0.57226,0.67943,0.042864,6.7643,6.7535,
2016-05-17 10:29:50,07-Feb-2016 16:19:20,56B76E88,1,760,2016020716,1,79,14,1,0.016763,15,1,0.02137,3,6071,6074,6125,0.3686,0.33139,-0.15569,0.85444,13,0.92857,0.36912,0.33155,-0.15561,0.85417,311.4872,47.0305,-0.46548,-0.18303,0.55192,0.66725,140,2,pattern_catalogue_doublestarM6_3_MUC4_5_PUC0_1,3,0.1,1.3,12,5,0.65,2457426.1801,1,0,51.522,-3217248.0312,-5919909.4573,1535575.3914,6724.7989,-3401.9998,1002.2487,12.8754,-140.3981,533346.1477,0.38773,0.2895,-0.19277,0.85364,301.9144,49.2933,-0.41378,-0.1992,0.57226,0.67942,0.069737,6.7765,6.7761,
2016-05-17 10:29:51,07-Feb-2016 16:19:30,56B76E92,1,776,2016020716,1,89,16,1,0.016846,13,1,0.020438,3,6071,6074,6125,0.36882,0.33148,-0.1554,0.85437,15,0.9375,0.36899,0.3316,-0.15549,0.85423,311.5155,47.0311,-0.46563,-0.18306,0.5519,0.66715,140,2,pattern_catalogue_doublestarM6_3_MUC4_5_PUC0_1,3,0.1,1.3,12,5,0.65,2457426.1802,1,0,51.992,-3149806.4386,-5953571.0566,1545504.6663,6763.292,-3330.2168,983.5702,12.9611,-139.7993,533422.8608,0.38772,0.2895,-0.19277,0.85364,301.9146,49.2934,-0.41379,-0.1992,0.57226,0.67942,0.031339,6.7959,6.7931,
2016-05-17 10:29:52,07-Feb-2016 16:19:40,56B76E9C,1,740,2016020716,1,99,15,1,0.016886,14,1,0.019555,3,6071,6074,6125,0.36866,0.33161,-0.15535,0.8544,14,0.93333,0.36886,0.33171,-0.15544,0.85425,311.5374,47.0218,-0.46577,-0.18311,0.55181,0.66711,140,2,pattern_catalogue_doublestarM6_3_MUC4_5_PUC0_1,3,0.1,1.3,12,5,0.65,2457426.1803,1,0,52.4603,-3081984.0033,-5986512.8133,1555246.5602,6800.9662,-3258.0335,964.7731,13.0452,-139.2001,533500.1539,0.38772,0.2895,-0.19276,0.85364,301.9148,49.2934,-0.41379,-0.1992,0.57226,0.67942,0.032577,6.8161,6.8099,
2016-05-17 10:29:52,07-Feb-2016 16:19:50,56B76EA6,1,764,2016020716,1,109,14,1,0.016764,13,1,0.018667,3,6071,6074,6125,0.36832,0.33155,-0.15552,0.85454,13,0.92857,0.36853,0.33162,-0.15561,0.8544,311.5305,47.0231,-0.46578,-0.18352,0.55174,0.66705,140,2,pattern_catalogue_doublestarM6_3_MUC4_5_PUC0_1,3,0.1,1.3,12,5,0.65,2457426.1804,1,0,52.9267,-3013788.6623,-6018730.8959,1564799.9361,6837.817,-3185.4583,945.8595,13.1278,-138.6004,533578.0136,0.38772,0.2895,-0.19276,0.85364,301.915,49.2935,-0.41379,-0.1992,0.57226,0.67942,0.031162,6.8117,6.803,
2016-05-17 10:29:53,07-Feb-2016 16:20:00,56B76EB0,1,748,2016020716,1,119,13,1,0.016961,12,1,0.018268,3,6071,6074,6125,0.36812,0.33165,-0.15557,0.85457,12,0.92308,0.36847,0.33183,-0.15552,0.85436,311.5592,47.0043,-0.46596,-0.18343,0.5516,0.66706,140,2,pattern_catalogue_doublestarM6_3_MUC4_5_PUC0_1,3,0.1,1.3,12,5,0.65,2457426.1806,1,0,53.3913,-2945229.2215,-6050221.1733,1574163.5648,6873.8397,-3112.5006,926.832,13.2087,-138.0004,533656.4259,0.38772,0.2895,-0.19276,0.85364,301.9153,49.2935,-0.41379,-0.1992,0.57226,0.67942,0.051276,6.8237,6.8284,
