TimeOfProc,UTC,File,CRC,DataSize,MissionID,STEUMod,InternalTime,centroid_numStars,liebe_succeed,liebe_sraTime,liebe_possibleMatch,liebeAD_succeed,liebeAD_vfyTime,liebeAD_numStarsSRA,liebeAD_ID1,liebeAD_ID2,liebeAD_ID3,liebeAD_Qeci2stsCoarse_w,liebeAD_Qeci2stsCoarse_i,liebeAD_Qeci2stsCoarse_j,liebeAD_Qeci2stsCoarse_k,liebeAD_numStarsVfyAD,liebeAD_quality,liebeAD_Qeci2sts_w,liebeAD_Qeci2sts_i,liebeAD_Qeci2sts_j,liebeAD_Qeci2sts_k,liebeProc_boreRA,liebeProc_boreDEC,liebeProc_Qeci2sat_w,liebeProc_Qeci2sat_i,liebeProc_Qeci2sat_j,liebeProc_Qeci2sat_k,centThresh_maxInt,centThresh_areaLargerThan,liebe_cat,liebeTol_minStar,liebeTol_angDist,liebeTol_coneDist,vfyTol_minDist,vfyTol_minStar,vfyTol_minQuality,pred_jday,pred_canSTS,pred_isSSA,pred_ELA,pred_x_ECI,pred_y_ECI,pred_z_ECI,pred_vx_ECI,pred_vy_ECI,pred_vz_ECI,pred_lat,pred_long,pred_alt,pred_Qeci2sts_w,pred_Qeci2sts_i,pred_Qeci2sts_j,pred_Qeci2sts_k,pred_boreRA,pred_boreDEC,pred_Qeci2sat_w,pred_Qeci2sat_i,pred_Qeci2sat_j,pred_Qeci2sat_k,adVcoarse,coarseVpred,adVpred
16/5/2016 15:25,21/2/2016 4:32,56C93DE8,1,436,2016022104,1,29,11,1,0.016327,5,1,0.0089377,3,5987,5982,5904,0.263,0.25697,-0.20571,0.90691,9,0.81818,0.2623,0.25638,-0.20586,0.90724,305.1111,51.608,-0.44298,-0.32425,0.55684,0.62334,200,2,pattern_catalogue_doublestarM6_3_MUC4_5_PUC0_1,3,0.1,1.3,12,5,0.65,2457439.689,1,0,46.9849,-2554700.802,-6395961.237,537652.817,6786.3133,-2867.7138,-1888.0361,4.4604,29.7148,530241.0696,0.27799,0.26227,-0.20933,0.90006,304.2408,50.786,-0.43765,-0.31043,0.55632,0.63451,0.11243,2.0273,2.1268
16/5/2016 15:25,21/2/2016 4:32,56C93DF2,1,420,2016022104,1,39,12,1,0.016695,8,0,0.012573,,,,,,,,,,,,,,,,,,,,,200,2,pattern_catalogue_doublestarM6_3_MUC4_5_PUC0_1,3,0.1,1.3,12,5,0.65,2457439.69,1,0,47.2056,-2486684.045,-6424250.849,518740.0996,6816.8302,-2790.1091,-1894.4483,4.303,30.2859,530217.7818,0.27799,0.26227,-0.20933,0.90006,304.2409,50.7861,-0.43765,-0.31043,0.55632,0.63451,,,
16/5/2016 15:25,21/2/2016 4:33,56C93DFC,1,376,2016022104,1,49,13,1,0.01755,17,1,0.021256,3,5862,5800,5762,0.26361,0.25632,-0.20572,0.90691,11,0.84615,0.26212,0.25633,-0.20583,0.90732,305.1225,51.6156,-0.44304,-0.32441,0.55683,0.62322,200,2,pattern_catalogue_doublestarM6_3_MUC4_5_PUC0_1,3,0.1,1.3,12,5,0.65,2457439.69,1,0,47.4235,-2418366.24,-6451762.709,499764.4097,6846.5221,-2712.166,-1900.6306,4.1451,30.8567,530195.7303,0.27799,0.26227,-0.20933,0.90007,304.2409,50.7861,-0.43765,-0.31043,0.55632,0.63451,0.17778,1.9913,2.1502
16/5/2016 15:25,21/2/2016 4:33,56C93E06,1,408,2016022104,1,59,8,1,0.017459,16,1,0.019198,3,5862,5800,5762,0.26295,0.25613,-0.20572,0.90715,8,1,0.26256,0.25627,-0.2056,0.90726,305.1207,51.6382,-0.44298,-0.32398,0.5571,0.62325,200,2,pattern_catalogue_doublestarM6_3_MUC4_5_PUC0_1,3,0.1,1.3,12,5,0.65,2457439.69,1,0,47.6386,-2349755.377,-6478493.587,480727.9735,6875.3855,-2633.8935,-1906.5822,3.9868,31.4273,530174.9204,0.27799,0.26227,-0.20933,0.90007,304.241,50.7861,-0.43765,-0.31043,0.55632,0.63451,0.051068,2.072,2.1115
16/5/2016 15:25,21/2/2016 4:33,56C93E10,1,400,2016022104,1,69,10,1,0.017935,28,1,0.037853,3,5987,5904,6071,0.26052,0.25637,-0.20606,0.90771,10,1,0.26135,0.25613,-0.20583,0.90759,305.1498,51.6344,-0.44324,-0.32511,0.55672,0.62282,200,2,pattern_catalogue_doublestarM6_3_MUC4_5_PUC0_1,3,0.1,1.3,12,5,0.65,2457439.69,1,0,47.8508,-2280860.314,-6504440.024,461633.2548,6903.4166,-2555.3018,-1912.3024,3.828,31.9977,530155.3575,0.27799,0.26227,-0.20933,0.90007,304.241,50.7861,-0.43765,-0.31043,0.55632,0.63451,0.10322,2.3177,2.2438
16/5/2016 15:25,21/2/2016 4:33,56C93E1A,1,384,2016022104,1,79,10,1,0.017765,13,0,0.019621,,,,,,,,,,,,,,,,,,,,,200,2,pattern_catalogue_doublestarM6_3_MUC4_5_PUC0_1,3,0.1,1.3,12,5,0.65,2457439.69,1,0,48.0602,-2211689.114,-6529598.982,442482.4947,6930.6122,-2476.4003,-1917.7904,3.6688,32.5678,530137.0462,0.27799,0.26227,-0.20933,0.90007,304.2411,50.7862,-0.43765,-0.31043,0.55632,0.63451,,,
16/5/2016 15:25,21/2/2016 4:33,56C93E24,1,376,2016022104,1,89,12,1,0.016649,5,1,0.0096779,3,5987,5982,5904,0.26302,0.25702,-0.20515,0.90702,10,0.83333,0.2616,0.2563,-0.20551,0.90755,305.1968,51.6422,-0.44343,-0.32472,0.55682,0.6228,200,2,pattern_catalogue_doublestarM6_3_MUC4_5_PUC0_1,3,0.1,1.3,12,5,0.65,2457439.69,1,0,48.2666,-2142249.869,-6553967.506,423277.9404,6956.9689,-2397.198,-1923.0457,3.5091,33.1377,530119.9912,0.27799,0.26227,-0.20933,0.90007,304.2412,50.7862,-0.43765,-0.31043,0.55632,0.63451,0.19622,2.0415,2.218
16/5/2016 15:25,21/2/2016 4:33,56C93E2E,1,308,2016022104,1,99,10,1,0.016946,7,0,0.011742,,,,,,,,,,,,,,,,,,,,,200,2,pattern_catalogue_doublestarM6_3_MUC4_5_PUC0_1,3,0.1,1.3,12,5,0.65,2457439.69,1,0,48.47,-2072551.543,-6577542.445,404022.0774,6982.4835,-2317.7053,-1928.0676,3.3491,33.7074,530104.1968,0.27798,0.26227,-0.20933,0.90007,304.2412,50.7862,-0.43765,-0.31043,0.55632,0.63451,,,
16/5/2016 15:25,21/2/2016 4:34,56C93E38,1,368,2016022104,1,109,11,1,0.017626,12,0,0.018409,,,,,,,,,,,,,,,,,,,,,200,2,pattern_catalogue_doublestarM6_3_MUC4_5_PUC0_1,3,0.1,1.3,12,5,0.65,2457439.69,1,0,48.6705,-2002602.294,-6600321.039,384717.1661,7007.1528,-2237.9316,-1932.8554,3.1887,34.277,530089.6673,0.27798,0.26227,-0.20933,0.90007,304.2413,50.7863,-0.43765,-0.31043,0.55632,0.63451,,,
16/5/2016 15:25,21/2/2016 4:34,56C93E42,1,352,2016022104,1,119,10,1,0.017565,14,0,0.020915,,,,,,,,,,,,,,,,,,,,,200,2,pattern_catalogue_doublestarM6_3_MUC4_5_PUC0_1,3,0.1,1.3,12,5,0.65,2457439.69,1,0,48.8679,-1932410.308,-6622300.613,365365.4719,7030.974,-2157.8862,-1937.4085,3.0279,34.8463,530076.4063,0.27798,0.26227,-0.20933,0.90007,304.2414,50.7863,-0.43765,-0.31043,0.55632,0.63451,,,
